Title,URL,Listing Type,Base Price,Discount,Original Price,Monthly Rent,Service Charges,Utility Charges,Administrative Fee,Refundable Deposit,Raw Characteristics
"Recreational property to rent• 2 ložnice without real estateLačnov, Zlínský Region",https://www.bezrealitky.com/properties-flats-houses/780877-nabidka-pronajem-chaty-chalupy-lacnov,Sale,,,,,,,,,"{""Name"": ""Dřevěnica  U Azzyho"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Lačnov"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""1 až 10 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateSněžné - Sněžné na Moravě, Vysočina Region",https://www.bezrealitky.com/properties-flats-houses/887883-nabidka-pronajem-chaty-chalupy-snezne,Sale,,,,,,,,,"{""Name"": ""Stylová chalupa ve Sněžném"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Sněžné"", ""Wi-fi"": ""ne"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""2 až 6 osob"", ""Crib"": ""ano"", ""Fire place"": ""ne"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateSedloňov - Polom v Orlických horách, Královéhradecký Region",https://www.bezrealitky.com/properties-flats-houses/828264-nabidka-pronajem-chaty-chalupy-sedlonov-polom,Sale,,,,,,,,,"{""Name"": ""Chalupa Polom 9"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Sedloňov - Polom"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""1 až 8 osob"", ""Crib"": ""ne"", ""Fire place"": ""ne"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 6 ložnic without real estateMalá Morávka - Malá Morávka, Moravskoslezský Region",https://www.bezrealitky.com/properties-flats-houses/816299-nabidka-pronajem-chaty-chalupy-mala-moravka,Sale,,,,,,,,,"{""Name"": ""Chata U potůčku"", ""Bedroom"": ""6 ložnic"", ""Town"": ""Malá Morávka"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""2 až 20 osob"", ""Crib"": ""ne"", ""Fire place"": ""ano"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateFrymburk - Frymburk, Jihočeský Region",https://www.bezrealitky.com/properties-flats-houses/839743-nabidka-pronajem-chaty-chalupy-hrdonov,Sale,,,,,,,,,"{""Name"": ""Chata k pronajmutí - Lipno"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Hrdoňov"", ""Wi-fi"": ""ne"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""2 až 6 osob"", ""Crib"": ""ne"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateNový Rychnov, Vysočina Region",https://www.bezrealitky.com/properties-flats-houses/774064-nabidka-pronajem-chaty-chalupy-novy-rychnov-chaloupky,Sale,,,,,,,,,"{""Name"": ""Chalupa pod lesem"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Nový Rychnov - Chaloupky"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""2 až 5 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateHorní Heřmanice - Rýdrovice, Pardubický Region",https://www.bezrealitky.com/properties-flats-houses/702758-nabidka-pronajem-chaty-chalupy-rydrovice,Sale,,,,,,,,,"{""Name"": ""Roubenka Amálka"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Rýdrovice"", ""Wi-fi"": ""ano"", ""Sauna"": ""ano"", ""Dogs allowed"": ""ano"", ""Capacity"": ""1 až 6 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ano""}"
"Recreational property to rent• 2 ložnice without real estateValašská Bystřice, Zlínský Region",https://www.bezrealitky.com/properties-flats-houses/774115-nabidka-pronajem-chaty-chalupy-valasska-bystrice,Sale,,,,,,,,,"{""Name"": ""Chata Beskiden"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Valašská Bystřice"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""1 až 10 osob"", ""Crib"": ""ano"", ""Fire place"": ""ne"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 4 ložnice without real estateLoučná nad Desnou - Filipová, Olomoucký Region",https://www.bezrealitky.com/properties-flats-houses/774114-nabidka-pronajem-chaty-chalupy-loucna-nad-desnou,Sale,,,,,,,,,"{""Name"": ""Chalupa k pronajmutí"", ""Bedroom"": ""4 ložnice"", ""Town"": ""Loučná nad Desnou"", ""Wi-fi"": ""ano"", ""Sauna"": ""ano"", ""Dogs allowed"": ""ne"", ""Capacity"": ""max. 18 osob"", ""Crib"": ""ano"", ""Fire place"": ""ne"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ano""}"
"Recreational property to rent• 3 ložnice without real estateBohdíkov - Raškov Ves, Olomoucký Region",https://www.bezrealitky.com/properties-flats-houses/842488-nabidka-pronajem-chaty-chalupy-raskov,Sale,,,,,,,,,"{""Name"": ""Chalupa Raškůvka"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Raškov"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""max. 13 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateŽabovřesky - Dehtáře u Českých Budějovic, Jihočeský Region",https://www.bezrealitky.com/properties-flats-houses/773862-nabidka-pronajem-chaty-chalupy-dehtare-u-ceskych-budejovic,Sale,,,,,,,,,"{""Name"": ""Chata Dehtář"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Dehtáře u Českých Budějovic"", ""Wi-fi"": ""ne"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""max. 5 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateKadaň - Tušimice, Ústecký Region",https://www.bezrealitky.com/properties-flats-houses/886546-nabidka-pronajem-chaty-chalupy-tusimice,Sale,,,,,,,,,"{""Name"": ""Rybářská Chata Ema - Nechranická přehrada"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Tušimice"", ""Wi-fi"": ""ano"", ""Sauna"": ""ano"", ""Dogs allowed"": ""ano"", ""Capacity"": ""2 až 8 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ano""}"
"Recreational property to rent• 2 ložnice without real estatePetrovice u Sušice, Plzeňský Region",https://www.bezrealitky.com/properties-flats-houses/773808-nabidka-pronajem-chaty-chalupy-petrovice-u-susice-strunkov,Sale,,,,,,,,,"{""Name"": ""Chalupa na statku u Flajšmanů"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Petrovice u Sušice - Strunkov"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""2 až 10 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateZderaz - Zderaz, Pardubický Region",https://www.bezrealitky.com/properties-flats-houses/908596-nabidka-pronajem-chaty-chalupy-zderaz,Sale,,,,,,,,,"{""Name"": ""Chalupa k pronájmu"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Zderaz"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""2 až 6 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateLančov, Jihomoravský Region",https://www.bezrealitky.com/properties-flats-houses/702384-nabidka-pronajem-chaty-chalupy-lancov,Sale,,,,,,,,,"{""Name"": ""Chata Jana"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Lančov"", ""Wi-fi"": ""ne"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""1 až 8 osob"", ""Crib"": ""ne"", ""Fire place"": ""ne"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 6 ložnic without real estateRadiměř, Pardubický Region",https://www.bezrealitky.com/properties-flats-houses/702385-nabidka-pronajem-chaty-chalupy-radimer,Sale,,,,,,,,,"{""Name"": ""Chalupa Mlýn stodola"", ""Bedroom"": ""6 ložnic"", ""Town"": ""Radiměř"", ""Wi-fi"": ""ne"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""max. 18 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 4 ložnice without real estateKadov u Sněžného, Vysočina Region",https://www.bezrealitky.com/properties-flats-houses/702386-nabidka-pronajem-chaty-chalupy-kadov,Sale,,,,,,,,,"{""Name"": ""Chalupa k pronajmutí"", ""Bedroom"": ""4 ložnice"", ""Town"": ""Kadov"", ""Wi-fi"": ""ano"", ""Sauna"": ""ano"", ""Dogs allowed"": ""ano"", ""Capacity"": ""2 až 9 osob"", ""Crib"": ""ano"", ""Fire place"": ""ne"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ano""}"
"Recreational property to rent• 2 ložnice without real estateHutisko-Solanec - Hutisko, Zlínský Region",https://www.bezrealitky.com/properties-flats-houses/774150-nabidka-pronajem-chaty-chalupy-hutisko-solanec,Sale,,,,,,,,,"{""Name"": ""Chalupa na Poskli"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Hutisko-Solanec"", ""Wi-fi"": ""ano"", ""Sauna"": ""ano"", ""Dogs allowed"": ""ne"", ""Capacity"": ""2 až 8 osob"", ""Crib"": ""ano"", ""Fire place"": ""ne"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 3 ložnice without real estateLanžhot, Jihomoravský Region",https://www.bezrealitky.com/properties-flats-houses/701145-nabidka-pronajem-chaty-chalupy-lanzhot,Sale,,,,,,,,,"{""Name"": ""Ubytování U babičky"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Lanžhot"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""2 až 10 osob"", ""Crib"": ""ano"", ""Fire place"": ""ne"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 3 ložnice without real estateJestřebí u Brtnice, Vysočina Region",https://www.bezrealitky.com/properties-flats-houses/774149-nabidka-pronajem-chaty-chalupy-jestrebi,Sale,,,,,,,,,"{""Name"": ""Chalupa u Smolíků"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Jestřebí"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""1 až 10 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ano""}"
"Recreational property to rent• 5 ložnic without real estateVýškovice u Vimperka, Jihočeský Region",https://www.bezrealitky.com/properties-flats-houses/676529-nabidka-pronajem-chaty-chalupy-sudslavice,Sale,,,,,,,,,"{""Name"": ""Statek u Potoka"", ""Bedroom"": ""5 ložnic"", ""Town"": ""Sudslavice"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""max. 20 osob"", ""Crib"": ""ne"", ""Fire place"": ""ne"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 4 ložnice without real estateChlum u Křemže, Jihočeský Region",https://www.bezrealitky.com/properties-flats-houses/720346-nabidka-pronajem-chaty-chalupy-chlum-u-kremze,Sale,,,,,,,,,"{""Name"": ""U nás pod Kletí"", ""Bedroom"": ""4 ložnice"", ""Town"": ""Chlum u Křemže"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""2 až 8 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 3 ložnice without real estateJetřichovice - Všemily, Ústecký Region",https://www.bezrealitky.com/properties-flats-houses/674221-nabidka-pronajem-chaty-chalupy-jetrichovice,Sale,,,,,,,,,"{""Name"": ""Chata 31 k pronájmu"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Jetřichovice"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""max. 9 osob"", ""Crib"": ""ne"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateLoučná nad Desnou - Rejhotice, Olomoucký Region",https://www.bezrealitky.com/properties-flats-houses/868695-nabidka-pronajem-chaty-chalupy-loucna-nad-desnou-rejhotice,Sale,,,,,,,,,"{""Name"": ""Chata Idylka"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Loučná nad Desnou - Rejhotice"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""1 až 6 osob"", ""Crib"": ""ano"", ""Fire place"": ""ne"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateHerálec - Zdislavice u Herálce, Vysočina Region",https://www.bezrealitky.com/properties-flats-houses/701820-nabidka-pronajem-chaty-chalupy-zdislavice-splav,Sale,,,,,,,,,"{""Name"": ""Pronájem chaty"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Zdislavice - Splav"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""2 až 7 osob"", ""Crib"": ""ne"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 3 ložnice without real estatePočítky, Vysočina Region",https://www.bezrealitky.com/properties-flats-houses/779591-nabidka-pronajem-chaty-chalupy-pocitky,Sale,,,,,,,,,"{""Name"": ""Chalupa U Mikeše"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Počítky"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""2 až 8 osob"", ""Crib"": ""ano"", ""Fire place"": ""ne"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 1 ložnice without real estateČlunek - Lomy u Kunžaku, Jihočeský Region",https://www.bezrealitky.com/properties-flats-houses/675143-nabidka-pronajem-chaty-chalupy-lomy,Sale,,,,,,,,,"{""Name"": ""Roubenky U veverky"", ""Bedroom"": ""1 ložnice"", ""Town"": ""Lomy"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""1 až 6 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 3 ložnice without real estateDlouhá Lhota u Tábora, Jihočeský Region",https://www.bezrealitky.com/properties-flats-houses/702349-nabidka-pronajem-chaty-chalupy-dlouha-lhota,Sale,,,,,,,,,"{""Name"": ""Chalupa Česlava"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Dlouhá Lhota"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""max. 9 osob"", ""Crib"": ""ano"", ""Fire place"": ""ne"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateDesná - Desná I, Liberecký Region",https://www.bezrealitky.com/properties-flats-houses/820085-nabidka-pronajem-chaty-chalupy-desna-v-jizerskych-horach,Sale,,,,,,,,,"{""Name"": ""Chata Porcelánka"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Desná v Jizerských horách"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""max. 11 osob"", ""Crib"": ""ne"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateSoběslav, Jihočeský Region",https://www.bezrealitky.com/properties-flats-houses/774121-nabidka-pronajem-chaty-chalupy-sobeslav,Sale,,,,,,,,,"{""Name"": ""Chata na brousku"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Soběslav"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""2 až 7 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 4 ložnice without real estateBedřichov u Jablonce nad Nisou, Liberecký Region",https://www.bezrealitky.com/properties-flats-houses/689501-nabidka-pronajem-chaty-chalupy-bedrichov,Sale,,,,,,,,,"{""Name"": ""Chata Stará Brusírna"", ""Bedroom"": ""4 ložnice"", ""Town"": ""Bedřichov"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""max. 17 osob"", ""Crib"": ""ano"", ""Fire place"": ""ne"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 3 ložnice without real estateLipová-lázně - Horní Lipová, Olomoucký Region",https://www.bezrealitky.com/properties-flats-houses/702091-nabidka-pronajem-chaty-chalupy-lipova-lazne-horni-lipova,Sale,,,,,,,,,"{""Name"": ""U DOBRÉ VODY 1"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Lipová-lázně - Horní Lipová"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""1 až 9 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 3 ložnice without real estateJáchymov, Karlovarský Region",https://www.bezrealitky.com/properties-flats-houses/779009-nabidka-pronajem-chaty-chalupy-jachymov-marianska,Sale,,,,,,,,,"{""Name"": ""Chata Mája"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Jáchymov - Mariánská"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""3 až 14 osob"", ""Crib"": ""ano"", ""Fire place"": ""ne"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateVelké Losiny - Bukovice u Velkých Losin, Olomoucký Region",https://www.bezrealitky.com/properties-flats-houses/773707-nabidka-pronajem-chaty-chalupy-velke-losiny-bukovice,Sale,,,,,,,,,"{""Name"": ""Chata Jeseníky"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Velké Losiny - Bukovice"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""1 až 9 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estatePelhřimov - Vlásenice u Pelhřimova, Vysočina Region",https://www.bezrealitky.com/properties-flats-houses/774124-nabidka-pronajem-chaty-chalupy-castkovice,Sale,,,,,,,,,"{""Name"": ""Chata Hejlov"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Částkovice"", ""Wi-fi"": ""ne"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""1 až 5 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 3 ložnice without real estatePolevsko, Liberecký Region",https://www.bezrealitky.com/properties-flats-houses/676429-nabidka-pronajem-chaty-chalupy-polevsko,Sale,,,,,,,,,"{""Name"": ""Roubenka"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Polevsko"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""6 až 13 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 1 ložnice without real estatePodivín, Jihomoravský Region",https://www.bezrealitky.com/properties-flats-houses/774129-nabidka-pronajem-chaty-chalupy-podivin,Sale,,,,,,,,,"{""Name"": ""Vinařství Radim Mildner"", ""Bedroom"": ""1 ložnice"", ""Town"": ""Podivín"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""1 až 9 osob"", ""Crib"": ""ne"", ""Fire place"": ""ano"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ano""}"
"Recreational property to rent• 6 ložnic without real estateVidochov, Královéhradecký Region",https://www.bezrealitky.com/properties-flats-houses/773740-nabidka-pronajem-chaty-chalupy-vidochov,Sale,,,,,,,,,"{""Name"": ""Chalupa Kovárna"", ""Bedroom"": ""6 ložnic"", ""Town"": ""Vidochov"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""max. 18 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 2 ložnice without real estateMělník - Mělník, Středočeský Region",https://www.bezrealitky.com/properties-flats-houses/876715-nabidka-pronajem-chaty-chalupy-melnik,Sale,,,,,,,,,"{""Name"": ""Big Win House"", ""Bedroom"": ""2 ložnice"", ""Town"": ""Mělník"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""max. 8 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 1 ložnice without real estateVacov - Javorník u Stach, Jihočeský Region",https://www.bezrealitky.com/properties-flats-houses/881859-nabidka-pronajem-chaty-chalupy-javornik,Sale,,,,,,,,,"{""Name"": ""Chaloupka v zahradě"", ""Bedroom"": ""1 ložnice"", ""Town"": ""Javorník"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""1 až 4 osoby"", ""Crib"": ""ne"", ""Fire place"": ""ne"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 10 ložnic without real estateHořejší Vrchlabí, Královéhradecký Region",https://www.bezrealitky.com/properties-flats-houses/773997-nabidka-pronajem-chaty-chalupy-horejsi-vrchlabi,Sale,,,,,,,,,"{""Name"": ""Chata Agata"", ""Bedroom"": ""10 ložnic"", ""Town"": ""Hořejší Vrchlabí"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""1 až 42 osob"", ""Crib"": ""ano"", ""Fire place"": ""ne"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 3 ložnice without real estateHlubočany, Jihomoravský Region",https://www.bezrealitky.com/properties-flats-houses/774111-nabidka-pronajem-chaty-chalupy-hlubocany-teresov,Sale,,,,,,,,,"{""Name"": ""Chalupa u Vyškova na Moravě"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Hlubočany - Terešov"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""1 až 6 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 3 ložnice without real estateBranžež - Branžež, Středočeský Region",https://www.bezrealitky.com/properties-flats-houses/815187-nabidka-pronajem-chaty-chalupy-zakopana,Sale,,,,,,,,,"{""Name"": ""Chata Jaruška"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Zakopaná"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""max. 8 osob"", ""Crib"": ""ne"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 3 ložnice without real estateŽacléř - Prkenný Důl, Královéhradecký Region",https://www.bezrealitky.com/properties-flats-houses/702580-nabidka-pronajem-chaty-chalupy-zacler-prkenny-dul,Sale,,,,,,,,,"{""Name"": ""Relax Ambiance 2"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Žacléř - Prkenný Důl"", ""Wi-fi"": ""ano"", ""Sauna"": ""ano"", ""Dogs allowed"": ""ano"", ""Capacity"": ""1 až 14 osob"", ""Crib"": ""ano"", ""Fire place"": ""ano"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ano""}"
"Recreational property to rent• 3 ložnice without real estateHoštka - Kochovice, Ústecký Region",https://www.bezrealitky.com/properties-flats-houses/726202-nabidka-pronajem-chaty-chalupy-hostka-kochovice,Sale,,,,,,,,,"{""Name"": ""Ubytování Bauštel"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Hoštka - Kochovice"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ne"", ""Capacity"": ""2 až 8 osob"", ""Crib"": ""ne"", ""Fire place"": ""ne"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 3 ložnice without real estateHanušovice - Žleb, Olomoucký Region",https://www.bezrealitky.com/properties-flats-houses/796650-nabidka-pronajem-chaty-chalupy-hanusovice-zleb,Sale,,,,,,,,,"{""Name"": ""Chata u Lišáků"", ""Bedroom"": ""3 ložnice"", ""Town"": ""Hanušovice - Žleb"", ""Wi-fi"": ""ano"", ""Sauna"": ""ano"", ""Dogs allowed"": ""ano"", ""Capacity"": ""2 až 8 osob"", ""Crib"": ""ne"", ""Fire place"": ""ano"", ""Swimming pool"": ""ano"", ""Whirlpool"": ""ne""}"
"Recreational property to rent• 4 ložnice without real estatePikárec - Pikárec, Vysočina Region",https://www.bezrealitky.com/properties-flats-houses/863424-nabidka-pronajem-chaty-chalupy-pikarec,Sale,,,,,,,,,"{""Name"": ""Chata za hájkem"", ""Bedroom"": ""4 ložnice"", ""Town"": ""Pikárec"", ""Wi-fi"": ""ano"", ""Sauna"": ""ne"", ""Dogs allowed"": ""ano"", ""Capacity"": ""max. 14 osob"", ""Crib"": ""ne"", ""Fire place"": ""ano"", ""Swimming pool"": ""ne"", ""Whirlpool"": ""ne""}"
